Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
39.38889,46.8037,58.85185,61.14444,59.31482,58.08519,56.22222,57.64444,59.37037,65.24445,65.18147,65.71851,63.73335,61.91851,57.18148,56.42592,62.73333,63.53334,68.94444,66.54074,66.21481,63.85555,60.38518,67.04815,70.3,67.11481,65.71851,57.87408,67.14444,65.72592,66.88148,66.21852,46.71851,39.64074,-2.1,59.89629,55.9,62.85555,63.68518,60.50371,56.19258,43.17408,55.7074,58.21482,63.57777,66.70741,68.11111,67.79259,68.09629,72.06296,51.78148,60.86296,62.92963,66.2,65.39629,64.6963,68.55184,72.42963,71.02594,72.04073,57.32222,73.7,73.17406,68.16667,1,64,35,0
-3.07037,18.02963,28.65185,30.75555,27.98148,25.78149,24.78889,24.39259,26.88518,30.65926,33.91852,31.63704,30.37037,28.04815,22.79259,29.0037,30.86667,31.85926,31.96296,38.74074,38.81482,38.43333,38.12962,34.88889,39.64815,40.11481,31.14074,35.93704,39.92593,43.12592,39.02592,35.76296,20.05185,10.92593,-18.11852,29.72222,27.08518,33.23703,30.51482,25.86296,30.28148,15.44074,28.77408,28.81852,29.66666,33.9963,36.4,34.81111,34.42963,30.13333,25.38889,31.60371,43.84815,42.35185,37.84074,35.48889,43.34074,47.25556,50.68518,41.24444,48.23333,52.60741,47.37778,43.64074,2,70,35,0
24.44815,23.53334,15.53704,16.7,17.07407,21.23704,15.8037,16.65185,18.58148,19.3,17.23333,20.55555,18.02963,13.00741,11.1963,9.692592,12.27037,14.42963,16.75926,16.41111,14.33704,12.67778,15.46296,11.77407,19.56667,15.86667,20.1037,20.42593,21.35185,14.15926,16.67407,15.64815,15.35556,9.581481,10.51481,24.62963,19.45555,18.12593,17.6,19.35185,40.02592,17.4,32.30741,19.33704,20.23704,18.90371,17.92963,18.46667,18.36667,21.58518,23.91851,21.3,19.45185,22.48148,23.05926,17.99259,17.68519,20.96296,23.22593,25.01481,14.6,27.54444,20.2,22.71482,3,63,35,0
18.61852,13.66296,8.777778,9.68889,9.088889,8.829629,13.58519,13.05926,10.45185,10.11111,9.837037,14.27407,13.68519,12.32592,16.01481,20.04815,15.2,16.1,13.61111,17.62593,19.94074,21.35185,27.02593,17.26296,26.25556,21.77037,26.28148,23.98889,21.62593,19.89259,17.97778,13.6963,10.22963,14.15926,-1.64074,15.24074,14.16667,11.53704,9.192592,9.370369,8.692592,23.04445,7.874074,14.60741,11.41852,10.64815,10.47407,11.07037,11.86296,17.38889,15.66296,9.614814,16.58518,15.25556,15.03333,11.03333,15.32963,14.1,14.47778,15.68889,19.74445,19.75185,16.73333,22.25926,4,67,35,0
36.08149,31.88518,32.32963,30.5963,31.18149,29.21852,26.80741,25.95926,29.95926,29.31111,30.33333,30.83704,28.41852,26.22222,21.47407,23.88148,26.16666,27.61482,29.56296,32.11481,31.04445,35.32592,33.05185,37.0037,37.38518,35.92963,39.2926,38.61481,37.48889,31.11111,30.37037,28.25185,39.10741,40.05185,31.81852,29.34074,36.51481,31.38519,29.05926,24.12593,23.9037,29.58889,29.17407,22.66296,21.95556,25.35926,27.98519,26.95185,24.2037,24.9,21.17778,23.77037,31.11481,24.4037,23.07037,26.59259,29.09259,27.17778,32.97778,32.43333,41.52963,36.6037,33.45185,39.51111,5,68,35,0
-134.4889,-137.163,-161.7926,-160.4333,-162.0852,-165.6703,-165.2815,-165.637,-164.0111,-160.8333,-155.4667,-159.1074,-159.2,-161.5074,-163.7444,-161.2667,-161,-159.8148,-161.1778,-159.3667,-157.6222,-156.4334,-162.4296,-163.3519,-159.6593,-156.7815,-156.6741,-156.4852,-159.6666,-161.963,-159.4926,-156.9482,-143.9704,-129.4074,-6.581481,-167.6703,-163.963,-157.5444,-159.6037,-158.6259,-160.9407,-151.3111,-154.1593,-162.8519,-159.0963,-154.8074,-153.3481,-156.1148,-156.4889,-157.1185,-166.563,-170.5222,-163.5852,-162.9889,-159.1815,-160.363,-157.637,-157.2444,-156.2593,-156.3481,-172.8296,-155.2074,-151.9889,-160.3185,6,66,35,1
32.87778,43.8,56.15926,51.22962,55.96297,62.11481,61.68149,63.5074,67.13333,59.14075,55.18519,53.93704,57.34073,64.38148,65.65185,66.95555,67.85184,60.27408,56.88148,61.45556,65.39259,68.8963,73.37408,74.59259,75.75925,69.25926,72.06667,76.1111,69.96296,69.31111,59.93333,57.00371,42.64074,34.72592,-30.04074,55.00371,56.60741,56.14074,59.71482,60.05185,60.23333,54.78518,57.52962,63.20741,60.46297,58.45555,58.5074,56.87777,59.04444,61.03333,57.67036,68.4926,73.86667,67.95926,57.80742,56.85926,62.49258,67.3,72.5037,77.1926,67.49628,77.31852,70.10741,72.12222,7,69,35,0
-101.063,-132.0481,-162.8407,-161.2593,-161.5889,-162.0741,-167.8259,-168.9111,-162.363,-155.7185,-157.0148,-154.3408,-159.837,-166.7593,-173.6222,-169.9482,-163.7407,-159.237,-159.2148,-155.7259,-158.9963,-161.2037,-161.663,-163.2407,-157.8074,-154.4037,-158.3518,-157.4222,-154.5889,-155.2667,-154.5852,-157.8297,-122.2444,-137.9741,-28.97407,-164.137,-169.9593,-160.8852,-162.9704,-162.3296,-164.8222,-151.4259,-181.6296,-166.3444,-161.4,-160.2,-159.4408,-158.1703,-157.9333,-162.0222,-172.6667,-167.9926,-165,-160.5407,-161.9704,-157.9852,-154.0778,-153.463,-152.6889,-160.5556,-159.3481,-151.937,-150.8407,-156.6222,8,62,35,1
63.27407,60.97037,73.62963,76.40001,72.18519,72.96297,77.53703,80.61483,80.4,80.86295,81.32963,87.2,85.43704,84.3111,83.11111,87.94074,88.11481,89.2963,86.63705,86.91481,93.18888,92.00001,88.77777,84.78148,94.17408,90.28519,91.91113,79.51481,81.5111,85.61852,85.04444,86.13703,65.63333,62.4926,13.15926,72.95556,75.49258,82.11481,78.24815,74.87778,70.26297,67.20741,75.55185,80.71111,80.68148,83.41481,85.4963,85.95927,84.84074,87.00372,84.88148,81.84814,90.12592,87.63705,86.41481,84.40741,84.41112,87.21111,90.55186,88.59259,86.72592,87.71852,87.15186,83.78519,9,46,35,0
5.081481,24.0037,30.74445,29.18518,26.17777,30.44074,31.76666,30.65556,28.23333,25.62222,28.45555,29.22222,26.31852,29.97037,29.42593,30.61481,26.97037,24.30741,23.47778,27.95926,26.46296,31.85185,31.31482,32.65555,33.78148,30.65556,28.22223,30.62222,32.1926,38.31482,29.96296,30.32222,23.85926,20.13333,0.4407407,34.43704,28.19259,31.52593,29.84444,31.11111,34.22963,26.63333,30.16296,36.41852,35.32222,34.01481,32.88889,29.07408,33.78889,35.26297,39.14074,32.68148,45.11111,41.98148,40.57777,34.04074,36.72963,42.73333,48.18148,44.8037,39.47778,46.72593,41.21481,38.09259,10,50,35,0
-11.11111,1.166667,5.818518,9.292592,6.425926,4.607407,4.177778,3.507408,5.403703,6.85926,10.46667,13.32593,11.89259,11.12222,10.52222,16.46296,16.88519,17.64074,20.86666,24.34814,24.44815,25.13704,24.67777,19.05926,22.87037,25.51852,17.62963,16.42222,19.47778,21.81481,22.97037,21.27037,2.759259,5.137037,-18.55926,3.403704,7.374074,10.34815,11.33333,8.981481,7.918519,3.451852,1.551852,8.266666,9.977778,13.71111,13.58889,15.62593,15.24815,6.722222,8.948147,8.651852,17.36667,14.72593,20.64074,20.75926,23.04074,21.84445,22.94815,22.40741,10.63333,24.14815,25.37407,20.76667,11,44,35,0
