"Word","Typelänge_Zeichen","PoS-Tag","Typefrequenz_absolut","Nachbarn_Coltheart_alle_Anzahl_absolut","Nachbarn_Levenshtein_alle_Anzahl_absolut","FOLK_Frequenz","Leipzig_Frequenz","Kategorie","Katnr","Überkategorie","End_Vorauswahl","Typelänge_Zeichena","Typefrequenz_absoluta","Nachbarn_Levenshtein_alle_Anzahl_absoluta","Nachbarn_Coltheart_alle_Anzahl_absoluta","Leipzig_Frequenza","devscore","ID"
"Platane",7,"nn",20,2,5,NA,4,"Baumart","1",0,9,0.00708145740986403,0.467701247461391,0.578958901412232,0.602473347425176,0.383916323205671,1.05374160628349,1
"Pappel",6,"nn",78,16,22,NA,2,"Baumart","1",0,5,0.408954165419658,0.417558735266298,0.409477342665489,0.449058383624601,0.405612082544291,1.23599024335144,2
"Fichte",6,"nn",896,18,25,NA,15,"Baumart","1",0,5,0.408954165419658,0.289623591898979,0.583907268090969,0.599277202345997,0.264589646843261,1.28248502540961,3
"Ahorn",5,"nn",54,7,11,1,4,"Baumart","1",0,9,0.82498978824918,0.438307361002199,0.230099050561272,0.226926300621684,0.383916323205671,1.49339619981265,4
"Rotbuche",8,"nn",18,0,3,NA,2,"Baumart","1",0,6,0.423117080239386,0.469430299606049,0.695245518362552,0.752692166146572,0.405612082544291,1.58779289820799,5
"Zypresse",8,"nn",18,1,2,NA,4,"Baumart","1",0,5,0.423117080239386,0.469430299606049,0.753388826837712,0.677582756785874,0.383916323205671,1.64593620668315,6
"Akazie",6,"nn",33,0,1,NA,NA,"Baumart","1",0,9,0.408954165419658,0.456462408521111,0.811532135312872,0.752692166146572,NA,1.67694870925364,7
"Ulme",4,"nn",48,11,16,NA,3,"Baumart","1",0,9,1.2410254110787,0.443494517436174,0.0606174918145286,0.073511336821109,0.394764202874981,1.7451374203294,8
"Eiche",5,"nn",379,23,29,2,24,"Baumart","1",0,9,0.82498978824918,0.157336387495212,0.816480501991609,0.974824249149489,0.166958729819471,1.798806677736,9
"Esche",5,"nn",99,19,27,1,4,"Baumart","1",0,5,0.82498978824918,0.399403687747385,0.700193885041289,0.674386611706695,0.383916323205671,1.92458736103785,10
"Spargel",7,"nn",287,7,12,8,25,"Gemüse","2",0,6,0.00708145740986403,0.236872786149497,0.171955742086112,0.226926300621684,0.156110850150161,0.415909985645473,11
"Zwiebel",7,"nn",637,3,6,12,14,"Gemüse","2",0,12,0.00708145740986403,0.065711339165719,0.520815592937072,0.527363938064477,0.275437526512571,0.593608389512655,12
"Paprika",7,"nn",340,1,4,11,7,"Gemüse","2",0,6,0.00708145740986403,0.19105290431605,0.637102209887392,0.677582756785874,0.351372684197741,0.835236571613307,13
"Wirsing",7,"nn",47,3,6,NA,2,"Gemüse","2",0,8,0.00708145740986403,0.444359043508503,0.520815592937072,0.527363938064477,0.405612082544291,0.972256093855439,14
"Spinat",6,"nn",293,3,9,9,15,"Gemüse","2",0,10,0.408954165419658,0.231685629715522,0.346385667511592,0.527363938064477,0.264589646843261,0.987025462646772,15
"Rotkohl",7,"nn",71,1,4,4,4,"Gemüse","2",0,8,0.00708145740986403,0.423610417772602,0.637102209887392,0.677582756785874,0.383916323205671,1.06779408506986,16
"Tomate",6,"nn",187,2,4,9,6,"Gemüse","2",0,6,0.408954165419658,0.323325393382416,0.637102209887392,0.602473347425176,0.362220563867051,1.36938176868947,17
"Kohlrabi",8,"nn",143,0,2,3,1,"Gemüse","2",0,8,0.423117080239386,0.361364540564901,0.753388826837712,0.752692166146572,0.416459962213601,1.537870447642,18
"Grünkohl",8,"nn",66,0,2,NA,6,"Gemüse","2",0,8,0.423117080239386,0.427933048134248,0.753388826837712,0.752692166146572,0.362220563867051,1.60443895521135,19
"Kartoffel",9,"nn",377,0,4,4,19,"Gemüse","2",0,11,0.839152703068908,0.15906543963987,0.637102209887392,0.752692166146572,0.221198128166021,1.63532035259617,20
"Schürze",7,"nn",581,6,9,1,6,"Kleidung","6",1,7,0.00708145740986403,0.0172978791152844,0.346385667511592,0.302035709982383,0.362220563867051,0.37076500403674,51
